filename,folder,confirmed_title,publishedAt_YYYY-MM-DD,status,evidence_notes
01_2022.pdf,2022,Circular-Holidays & Leaves for contract workers engaged by contractors for the year 2023,2022-12-29,CONFIRMED,"ref CL-09/134, Sub Holidays 2023"
02_2022.pdf,2022,Circular - Selection of players for SAIL Swarna Jayanti Volleyball Tournament 2022,2022-12-27,CONFIRMED,ref Sports/Volleyball/543
03_2022.pdf,2022,Scheme for Sponsoring Executives for Higher Specialized Education Training,2022-12-27,CHECK,subject matches; no date on pg1 - verify date
04_2022.pdf,2022,Circular - Leave Management System (LMS),2022-12-27,CONFIRMED,"ref LEAVE_LMS, Sub LMS"
05_2022.pdf,2022,Circular-Holiday List - 2023,2022-12-26,CONFIRMED,ref HOLIDAY_2023
06_2022.pdf,2022,Circular - Rules for Retention of Company Accomodation by Ex-employees at City Locations,2022-12-26,CONFIRMED,"ref RETENTION_QTRS, Sub Retention"
07_2022.pdf,2022,Notice for cancellation of JO written examination,2022-12-19,CHECK,subject matches; date approx - verify
08_2022.pdf,2022,Circular- Selection trial for Inter Steel Plant Football Championship 2022-23,2022-12-19,CONFIRMED,ref Football/538(A)
09_2022.pdf,2022,Circular- Selection of Coach for Inter Steel Plant Football Championship,2022-12-19,CONFIRMED,ref Football/538 NOTICE
10_2022.pdf,2022,Circular - Motivational Award Schemes of DSP,2022-12-19,CONFIRMED,Sub Motivational Schemes
01_2023.pdf,2023,Circular - Application from SAIL Executives for LinkedIn membership,2023-12-30,CHECK,LinkedIn confirmed; date not on pg1 - verify
02_2023.pdf,2023,Circular - Holidays and Leaves for Contractor Workers in DSP - 2024,2023-12-26,CONFIRMED,Sub Holidays 2024
03_2023.pdf,2023,CIRCULAR- IMPLEMENTATION OF CONTACTLESS ATTENDANCE SYSTEM,2023-12-26,CONFIRMED,Sub Contactless Attendance
04_2023.pdf,2023,Circular for selction of employees for badminton,2023-12-22,CONFIRMED,ref Badminton/85
05_2023.pdf,2023,CIRCULAR-HOLIDAY LIST FOR EMPLOYEES OF DSP-2024,2023-12-23,CONFIRMED,ref HOLIDAYS_2024
06_2023.pdf,2023,Circular for Gate Pass No.-13 (valid from 01.01.2024 to 31.03.2024),2023-12-20,CONFIRMED,ref Gate Pass #13
07_2023.pdf,2023,Notice for Contract Workers - Daily Rate of Wages w.e.f 01.01.2024 (excluding Non-Works),2023-12-16,CONFIRMED,ref PL-CLC/WAGE
08_2023.pdf,2023,Circular -Inter Department Volleyball Tournament 2023,2023-12-13,CONFIRMED,Inter Dept Night Volleyball 2023
09_2023.pdf,2023,PF of Junior Officers of 2008 and 2010 batches,2023-12-13,CONFIRMED,ref JO-PF/2023/3315
10_2023.pdf,2023,Promotion Order E1-E2 dt 30-12-2023,2023-12-11,CHECK,Promotion order; OCR date 11-12-2023 vs title 30-12 - verify
01_2024.pdf,2024,Notice for Contractor Workers - Revised GPAIS Premium Amount w.e.f 01.01.2025,2024-08-20,CONFIRMED,ref GPAIS-RN/77 Sub GPAIS
02_2024.pdf,2024,CIRCULAR - HOLIDAYS AND LEAVES FOR CONTRACTOR WORKERS IN DSP -2025,2024-12-27,CONFIRMED,ref Holiday_CW/2025
03_2024.pdf,2024,CIRCULAR-HEALTH CHECK UP OF NON-EXECUTIVE EMPLOYEES DURING THE MONTH OF JANUARY-2025,2024-12-28,CONFIRMED,ref NE_HEALTH_CHECK Sub Jan 2025
04_2024.pdf,2024,CIRCULAR-HOLIDAY LIST-2025,2024-12-21,CHECK,ref _2025/3004 Sl 2024/47; Hindi - verify title
05_2024.pdf,2024,Notice - Football Coach for Inter Steel Football Championship -2024-25,2024-12-10,CHECK,Sports/Culture 10.12.2024; verify coach vs trial
06_2024.pdf,2024,CIRCULAR-SELECTION OF PLAYERS FOR DSP TABLE TENNIS TEAM,2024-12-04,CHECK,Sports ref /113 04.12.2024; verify TT vs football
07_2024.pdf,2024,Circular- Selection Trial for Inter Steel Football Championship-2024-25,2024-12-03,CONFIRMED,ref Football Champ/11-2
08_2024.pdf,2024,Notice - Implementation of Biometric Attendance System for Contractor Workers,2024-12-03,CHECK,Football/11-1 NOTICE? conflicts - VERIFY carefully
09_2024.pdf,2024,CIRCULAR-ZERO TOLERANCE SAFETY RULES (REVISED),2024-11-29,CONFIRMED,ref ZTSR Sl 2024/46
10_2024.pdf,2024,CIRCULAR-HEALTH CHECK-UP FOR NON-EXECUTIVE EMPLOYEES DURING THE MONTH OF DECEMBER-2024,2024-11-29,CHECK,OCR empty - VERIFY title+date from file
01_2025.pdf,2025,CIRCULAR - HTS Jan-May 2026 Session,2025-12-30,CHECK,Rajbhasha/HTS 2026 ref 103; verify vs 07_2025
02_2025.pdf,2025,Circular for Inter Department TT 2026-27,2025-12-29,CHECK,ref 2025-26/01-02 29.12.2025; verify
03_2025.pdf,2025,Circular for Coach of DSP Volleyball Team,2025-12-27,CHECK,Sports /12-2 27.12.2025; verify coach/volleyball
04_2025.pdf,2025,Junior Manager Placement Order dated 12-12-2024,2025-12-12,CHECK,names+payscale list; verify placement order
05_2025.pdf,2025,CIRCULAR- List of Nodal Officers w.r.t. submission of declaration (Format-B) by employees for SIR,2025-12-27,CONFIRMED,Sub List of Nodal Officers SIR Sl 2025/52
06_2025.pdf,2025,CIRCULAR-HOLIDAY LIST FOR THE YEAR 2026,2025-12-23,CONFIRMED,ref HOLIDAY_2026
07_2025.pdf,2025,CIRCULAR- HEALTH CHECK UP OF NON- EXECUTIVE EMPLOYEES FOR JAN-2026,2025-12-24,CHECK,ref 2928 Sl 2025/51 health 2026; verify vs 01_2025
08_2025.pdf,2025,Circular Submission of Declaration (Format B) by employees for SIR,2025-12-24,CONFIRMED,ref SIR/2918 Sl 2025/50
09_2025.pdf,2025,CIRCULSR-SAIL GAURAV DIWAS-2026,2025-12-23,CONFIRMED,ref GD_SAIL Gaurav Diwas
10_2025.pdf,2025,Circular for SAIL DAY WALK 5km RUN,2025-12-15,CHECK,ref AFFDF/2835 affdf@icici; verify title (walk/run?)
01_2026.pdf,2026,Internal Circular ICVL dated 25.08.2026,2026-08-25,CONFIRMED,ref ICVL 25 Aug 2026
02_2026.pdf,2026,CIRCULAR - Pre-Mature (Part/Full) Repayment of Refundable PF Loan,2026-08-14,CONFIRMED,ref DSPPF/2026/02 Sub PF Loan
03_2026.pdf,2026,CIRCULAR -EXTENSION OF SAIL MEDICLAIM POLICY (26-27),2026-08-20,CHECK,ref Town/Mediclaim/2026-27/03; verify vs 08_2026
